Episode,TotalReward,AvgVehicleQueue,PedestriansServed,AvgPedestrianWait
1,232.0,0.54375,5,4.0
2,1418.0,0.8325,5,54.8
3,1357.0,0.76875,5,51.0
4,758.0,0.701875,3,2.0
5,1426.0,0.77625,5,10.2
6,1356.0,0.54625,7,8.142857142857142
7,1489.0,1.576875,4,10.5
8,1092.0,0.730625,2,1.0
9,352.0,0.394375,4,11.25
10,1291.0,0.679375,2,2.0
11,388.0,0.1675,4,1.0
12,1449.0,1.02625,7,2.2857142857142856
13,1411.0,0.88125,4,0.5
14,1411.0,0.74,4,1.5
15,1489.0,0.99625,5,2.4
16,1380.0,0.908125,4,2.25
17,1063.0,0.5075,5,3.8
18,402.0,0.355,5,2.2
19,1370.0,0.665,5,0.8
20,1430.0,1.220625,4,10.25
21,11.0,0.125,4,0.75
22,391.0,0.28375,4,0.75
23,1042.0,0.535,2,0.5
24,1356.0,0.9875,6,18.666666666666668
25,1431.0,1.055625,3,1.0
26,1356.0,0.775625,2,8.0
27,1068.0,0.398125,4,2.25
28,1373.0,0.965,3,10.333333333333334
29,1070.0,0.64375,7,4.428571428571429
30,1421.0,0.944375,3,2.0
31,32.0,0.054375,4,3.0
32,736.0,0.76625,4,1.5
33,1334.0,0.99,5,1.4
34,1334.0,0.65375,4,0.75
35,1486.0,1.0175,4,6.5
36,1379.0,0.57375,7,6.571428571428571
37,1324.0,0.783125,2,0.5
38,1087.0,0.56375,4,26.0
39,1325.0,0.880625,3,0.3333333333333333
40,1258.0,1.000625,4,14.0
41,1336.0,1.235,3,1.3333333333333333
42,1320.0,0.535625,6,1.6666666666666667
43,1059.0,0.489375,4,1.5
44,746.0,0.495,6,3.5
45,1401.0,0.77625,4,5.5
46,1059.0,0.4925,3,0.6666666666666666
47,1382.0,0.8975,4,1.5
48,1417.0,1.03875,5,2.2
49,1083.0,0.5525,4,2.0
50,1439.0,1.1425,3,34.666666666666664
51,728.0,0.585625,4,25.75
52,1389.0,0.5325,4,0.75
53,1430.0,0.879375,4,1.75
54,1066.0,0.418125,3,3.6666666666666665
55,778.0,0.385,6,16.5
56,1090.0,0.4575,4,1.5
57,751.0,0.5,5,22.2
58,1352.0,0.883125,4,0.75
59,1427.0,0.998125,6,8.333333333333334
60,737.0,0.48625,3,25.333333333333332
61,382.0,0.1775,5,3.6
62,754.0,0.346875,5,4.0
63,1258.0,0.85625,2,31.0
64,396.0,0.235,2,0.5
65,1379.0,0.78375,2,2.0
66,1253.0,0.783125,4,6.75
67,1132.0,0.975,6,4.833333333333333
68,942.0,0.453125,4,1.75
69,1351.0,1.08625,5,6.0
70,1124.0,0.518125,5,1.2
71,1366.0,0.64875,5,3.8
72,400.0,0.17,5,3.4
73,1393.0,0.705,4,2.25
74,40.0,0.074375,4,1.0
75,33.0,0.10625,3,4.666666666666667
76,1308.0,1.345625,4,7.0
77,1007.0,0.573125,5,1.2
78,1312.0,0.915,4,1.75
79,1415.0,0.859375,3,8.666666666666666
80,1058.0,0.504375,2,2.5
81,1333.0,0.5325,5,3.6
82,760.0,0.453125,4,0.5
83,403.0,0.504375,3,14.666666666666666
84,1292.0,0.6375,4,0.75
85,1250.0,0.725625,4,1.5
86,770.0,0.29,6,1.5
87,394.0,0.224375,5,9.2
88,1337.0,0.79,7,1.5714285714285714
